param,cf,std_err,t_val,p_val,species,source,posneg,psignif
vesselname20,-0.531134650193779,0.319742853774777,-1.66113063645795,0.0967186226234726,Blue,Logbook,negative,No
vesselname21,-0.446214398250243,0.179592580601578,-2.48459260819999,0.012986244167626,Blue,Logbook,negative,Yes
vesselname22,-0.20814709659242,0.21087757603981,-0.987051826473597,0.323641160743527,Blue,Logbook,negative,No
vesselname23,1.34498820760517,0.069696082605584,19.2979025122053,1.68998478348883e-81,Blue,Logbook,positive,Yes
vesselname24,-0.849556020257967,0.18167089851662,-4.67634622382983,2.95863787972062e-6,Blue,Logbook,negative,Yes
vesselname25,0.351421279886438,0.151960072309425,2.31258958057657,0.0207654557013031,Blue,Logbook,positive,Yes
vesselname26,-1.01201025160548,0.198906042308161,-5.08788089020242,3.68675462778719e-7,Blue,Logbook,negative,Yes
vesselname27,0.524282929125155,0.143878594989722,3.64392583318322,2.69873476550451e-4,Blue,Logbook,positive,Yes
vesselname28,-0.360103432825366,0.184682104881197,-1.94985558052316,0.0512212984299937,Blue,Logbook,negative,No
vesselname29,1.22097247231756,0.107133651345366,11.3967222901935,6.6435133482022e-30,Blue,Logbook,positive,Yes
vesselname30,-1.91562371911561,0.461532045833177,-4.15057575397054,3.34394359342329e-5,Blue,Logbook,negative,Yes
vesselname1,1.07253140342116,0.553589476630536,1.93741291823176,0.0527230983127799,Silky,Logbook,positive,No
vesselname2,-1.90871890064002,0.642734299351568,-2.96968576683345,0.00298814477554895,Silky,Logbook,negative,Yes
vesselname3,-1.18093509249986,0.710489221846512,-1.66214357120111,0.0965154299306894,Silky,Logbook,negative,No
vesselname4,2.83895737603204,0.538697898555952,5.27003610677194,1.39246850871367e-7,Silky,Logbook,positive,Yes
vesselname5,1.41926923181499,0.540758452238196,2.62459001045779,0.00868856708715515,Silky,Logbook,positive,Yes
vesselname6,1.93192463690235,0.540611541281647,3.57359118216801,3.53781371521982e-4,Silky,Logbook,positive,Yes
vesselname7,-3.53465629774072,0.848085319297175,-4.16780743318368,3.10141346901413e-5,Silky,Logbook,negative,Yes
vesselname8,-1.76642528199577,0.644416564674034,-2.74112333361462,0.00613386265134231,Silky,Logbook,negative,Yes
vesselname9,1.12805292470581,0.546674600097488,2.06348150161842,0.0390927296272547,Silky,Logbook,positive,Yes
vesselname10,0.097415053430075,0.633272394280396,0.153828043524257,0.877748435087515,Silky,Logbook,positive,No
vesselname11,-0.750038075688967,0.476274316593483,-1.57480269155297,0.115333726412531,Silky,Logbook,negative,No
vesselname12,-0.369654802340972,0.401839233088562,-0.919907196467059,0.35764351554774,Silky,Logbook,negative,No
vesselname13,-0.00265469076977311,0.389595155413244,-0.00681397274295486,0.994563414761529,Silky,Logbook,negative,No
vesselname14,-1.04145082442922,0.663827878511475,-1.56885671443101,0.116713066870302,Silky,Logbook,negative,No
vesselname15,-0.517055202798623,0.418651689153918,-1.23504864830135,0.216841505410649,Silky,Logbook,negative,No
vesselname16,1.73185887195379,0.388029684500816,4.46321232918496,8.16263284334737e-6,Silky,Logbook,positive,Yes
vesselname17,-1.48007394231027,0.502655492362553,-2.94450963890539,0.00324213706765506,Silky,Logbook,negative,Yes
vesselname18,0.200658822371362,0.391927366126162,0.511979615903548,0.60867661664997,Silky,Logbook,positive,No
vesselname19,1.58049194172527,0.384566463625072,4.10980179297731,3.99169859999156e-5,Silky,Logbook,positive,Yes
vesselname20,1.77009119272274,0.379654844207755,4.66236956996156,3.16648736111924e-6,Silky,Logbook,positive,Yes
vesselname21,-0.611111288712182,0.562587442305687,-1.0862512078258,0.277394131241364,Silky,Logbook,negative,No
vesselname22,-0.388786144608469,0.450662435433004,-0.862699249017543,0.388323597557504,Silky,Logbook,negative,No
vesselname23,1.76936190819957,0.362544376360813,4.88040092073764,1.07511089885552e-6,Silky,Logbook,positive,Yes
vesselname24,-0.504824386622997,0.431341831006032,-1.17035805557179,0.241884883987372,Silky,Logbook,negative,No
vesselname25,-0.175098395314654,0.428085411803023,-0.409026774767141,0.682528798730723,Silky,Logbook,negative,No
vesselname26,-0.409722498647763,0.441679353074822,-0.92764693616628,0.353613199929727,Silky,Logbook,negative,No
vesselname27,1.19500870894173,0.55816493952786606,2.14095982085968,0.0323014577520218,Silky,Logbook,positive,Yes
vesselname28,-0.28395052840056,0.447912694593374,-0.633941685127583,0.526133424531636,Silky,Logbook,negative,No
vesselname29,0.510763362435961,0.394942261270185,1.29326084474546,0.19595082407197,Silky,Logbook,positive,No
vesselname30,-2.32122908113608,0.896436421914562,-2.58939621861696,0.00962841480440966,Silky,Logbook,negative,Yes
vesselname1,-0.191429395724358,2.01334253635988,-0.0950803910746661,0.924274813446164,Blue,Observer,negative,No
vesselname2,-0.487883737207884,1.82700535198353,-0.267040124802153,0.789507176796518,Blue,Observer,negative,No
vesselname3,3.5387898063254,0.620728213346682,5.70102942034141,1.67564431710987e-8,Blue,Observer,positive,Yes
vesselname4,-1.45714689991697,1.46184529756659,-0.996785981623745,0.319170184016429,Blue,Observer,negative,No
vesselname5,-0.113472016798614,2.06944364826602,-0.0548321365955973,0.956285905205206,Blue,Observer,negative,No
vesselname6,-0.560108677479135,1.78834395851711,-0.313199636351597,0.754210733824232,Blue,Observer,negative,No
vesselname7,1.46057618366732,0.560099282191619,2.60770943671311,0.00928514958507363,Blue,Observer,positive,Yes
vesselname8,1.18318122703954,0.451521846246901,2.62042963562954,0.00894869232649641,Blue,Observer,positive,Yes
vesselname9,2.35462915108835,0.475204804919219,4.95497757327732,8.8331052367766e-7,Blue,Observer,positive,Yes
vesselname10,2.65539033668619,0.686133049128739,3.87008079563874,1.17673747544831e-4,Blue,Observer,positive,Yes
vesselname11,-0.285941002667743,0.645621489681768,-0.442892634829559,0.657963277153451,Blue,Observer,negative,No
vesselname12,-0.463194698524953,0.697643727672063,-0.663941608234002,0.506919224971158,Blue,Observer,negative,No
vesselname13,-1.6340587614486,1.42361545510261,-1.14782313973321,0.25138514176859,Blue,Observer,negative,No
vesselname14,-0.244729343899543,1.96958186963657,-0.124254466225717,0.901145051257649,Blue,Observer,negative,No
vesselname15,1.10676714198478,0.689889243413504,1.60426786263343,0.109050204966118,Blue,Observer,positive,No
vesselname16,0.144871983181099,2.31829094284138,0.0624908550104324,0.95018757354146,Blue,Observer,positive,No
vesselname17,-0.00698444093535985,0.970371461192703,-0.00719769821628423,0.994258914026569,Blue,Observer,negative,No
vesselname18,-0.0992017726234391,2.08003164474271,-0.0476924343310699,0.961973282164364,Blue,Observer,negative,No
vesselname19,-1.06453015853952,1.61510893765365,-0.659107341753692,0.510016749988462,Blue,Observer,negative,No
vesselname20,0.943744049387765,1.02561959777232,0.920169672496127,0.357761829104553,Blue,Observer,positive,No
vesselname21,4.33187818643398,0.705589140288941,6.13937763364678,1.30424243922818e-9,Blue,Observer,positive,Yes
