vesselID,datasource,count_sets,obs_cover_pcnt,meanhooks,catch_grp,spc_avg_1000hks,spc_avg_set
18,observer,877,5.9,2091.307475317348,blue_shark,0.00919557236692373,2.1927901061310413e-5
18,observer,877,5.9,2091.307475317348,silky_shark,0.00919557236692373,2.1927901061310413e-5
19,logbook,290,0,1998.3957219251336,blue_shark,0.02933387467358106,2.0214030915576694e-4
19,logbook,290,0,1998.3957219251336,silky_shark,0.0034510440792448306,2.3781212841854935e-5
20,logbook,799,1,2240.265486725664,blue_shark,0.038937953218024325,1.0917566047318947e-4
20,logbook,799,1,2240.265486725664,silky_shark,0.009593408763861064,2.6898351131075664e-5
20,observer,799,1,2240.265486725664,blue_shark,0,0
20,observer,799,1,2240.265486725664,silky_shark,0,0
21,logbook,122,9,2235.321100917431,blue_shark,0.004030297484022089,7.38443361394181e-5
21,logbook,122,9,2235.321100917431,silky_shark,0.1531513043928394,0.0028060847732978883
21,observer,122,9,2235.321100917431,blue_shark,0,0
21,observer,122,9,2235.321100917431,silky_shark,0,0
22,logbook,662,3.6,2439.25831702544,blue_shark,0.022490005993369682,8.286848061824622e-5
22,logbook,662,3.6,2439.25831702544,silky_shark,0.0038554295988633743,1.420602524884221e-5
22,observer,662,3.6,2439.25831702544,blue_shark,0.01708169502829745,6.294058408862034e-5
22,observer,662,3.6,2439.25831702544,silky_shark,0.01708169502829745,6.294058408862034e-5
23,logbook,779,1.2,2007.842465753425,blue_shark,0.05109833283603943,1.3170398279512528e-4
23,logbook,779,1.2,2007.842465753425,silky_shark,0.02005124453059775,5.168130970441625e-5
23,observer,779,1.2,2007.842465753425,blue_shark,0.6087241619145626,0.001568963058051633
23,observer,779,1.2,2007.842465753425,silky_shark,0,0
24,logbook,189,13.2,1984.6153846153843,blue_shark,0.1505483078086595,0.0015808491418247514
24,logbook,189,13.2,1984.6153846153843,silky_shark,0.12904140669313674,0.0013550135501355014
24,observer,189,13.2,1984.6153846153843,blue_shark,0,0
24,observer,189,13.2,1984.6153846153843,silky_shark,0.04031007751937985,4.2328042328042324e-4
25,logbook,173,18.5,2196.5241379310346,blue_shark,0.02583062378996888,3.2796294018775876e-4
25,logbook,173,18.5,2196.5241379310346,silky_shark,0.1678990546347977,0.002131759111220432
25,observer,173,18.5,2196.5241379310346,blue_shark,0,0
25,observer,173,18.5,2196.5241379310346,silky_shark,0.5548539071134331,0.007044797687861272
26,logbook,292,0,2305.0925925925926,blue_shark,0.0445707588309255,3.51848376806155e-4
26,logbook,292,0,2305.0925925925926,silky_shark,0.0059427678441233995,4.691311690748733e-5
27,logbook,265,0,2200,blue_shark,0.03602058319039451,2.9903880384478463e-4
27,logbook,265,0,2200,silky_shark,0.018867924528301886,1.5663937344250622e-4
28,logbook,547,0,2343.3414043583534,blue_shark,0.2278032726933398,9.759064734015353e-4
28,logbook,547,0,2343.3414043583534,silky_shark,0.11156119176420408,4.7792680033020396e-4
29,logbook,556,0,2183.054892601432,blue_shark,0.023068458975030535,9.057502199679106e-5
29,logbook,556,0,2183.054892601432,silky_shark,0.011534229487515268,4.528751099839553e-5
30,logbook,283,6.7,2417.172727272727,blue_shark,0.06895107858291744,5.889281507656066e-4
30,logbook,283,6.7,2417.172727272727,silky_shark,0.02350604951690367,2.0077096048827498e-4
30,observer,283,6.7,2417.172727272727,blue_shark,0,0
30,observer,283,6.7,2417.172727272727,silky_shark,0,0
31,logbook,480,0,2323.199460916442,blue_shark,0.020625291746479996,9.982638888888888e-5
31,logbook,480,0,2323.199460916442,silky_shark,0.010761021780772172,5.208333333333333e-5
32,logbook,301,4,2260.3203463203463,blue_shark,0.07654241616879082,5.747853176838451e-4
32,logbook,301,4,2260.3203463203463,silky_shark,0.09644344437267646,7.242295002816448e-4
32,observer,301,4,2260.3203463203463,blue_shark,0,0
32,observer,301,4,2260.3203463203463,silky_shark,0,0
33,logbook,303,3.6,2462.701612903226,blue_shark,0.038937080503983985,3.164700031647e-4
33,logbook,303,3.6,2462.701612903226,silky_shark,0.016687320215993135,1.3563000135630003e-4
33,observer,303,3.6,2462.701612903226,blue_shark,0,0
33,observer,303,3.6,2462.701612903226,silky_shark,0,0
34,logbook,313,11.2,2293.5101214574897,blue_shark,0.15683917278169054,0.0011492403521272438
34,logbook,313,11.2,2293.5101214574897,silky_shark,0.04548336010669027,3.332797021169007e-4
34,observer,313,11.2,2293.5101214574897,blue_shark,0,0
34,observer,313,11.2,2293.5101214574897,silky_shark,0,0
35,logbook,209,0,2481.5602836879434,blue_shark,0.003856194045872299,4.5786497561869004e-5
35,logbook,209,0,2481.5602836879434,silky_shark,0,0
39,logbook,323,0,2319.0582959641256,blue_shark,0.02136022358790094,1.533610022141495e-4
39,logbook,323,0,2319.0582959641256,silky_shark,0.0026700279484876176,1.9170125276768686e-5
