vesselID,species,datasource,quart,cf,month,year,tarcatch4,set_date,hooks1000,set_id,catch_cnt,company
17,Blue,Logbook,Q1,-0.55318977,12,2017,34,2017-12-03T00:00:00Z,2.4,1C000626-6034-50A7-D73E-39E3A84302A7,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,13,2018-06-16T00:00:00Z,2.4,D6DCDE3E-8FE8-8CE9-AD89-39E727E04F7B,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,25,2016-12-03T00:00:00Z,2.3,4579C308-EA8B-27DA-3394-39DC0C9CFC42,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,27,2016-12-15T00:00:00Z,2.3,B7CFB427-59D7-9CD5-2CD8-39DCA6F687E3,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,33,2016-12-02T00:00:00Z,2.3,6163B752-C5E5-F572-C07C-39DC0C9CFC42,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,9,2018-09-01T00:00:00Z,2.4,66DDEC98-1BDF-44F6-8476-66D6F52B02AD,0,A
17,Blue,Logbook,Q1,-0.55318977,8,2018,16,2018-08-31T00:00:00Z,2.4,206CCBA4-E731-41CC-8A9B-4DF671D7E509,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,21,2016-05-15T00:00:00Z,2.3,D6671CD5-1C8F-CFFA-16ED-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,4,2016-06-22T00:00:00Z,2.3,65F3469B-1E3D-AD15-9602-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2017,56,2017-12-05T00:00:00Z,2.4,5EA59D75-7BDE-ED10-ACB8-39E3A845CF98,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,8,2016-05-31T00:00:00Z,2.3,A04A69CA-0749-49FE-039A-39D87D66C2A3,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,18,2018-09-07T00:00:00Z,2.4,CCC55462-C43E-41BC-938C-F26E7569FBA2,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,15,2018-11-26T00:00:00Z,2.4,FE964768-BC1F-493B-938B-8FE48CBD1D49,2,A
17,Blue,Logbook,Q1,-0.55318977,12,2017,82,2017-12-04T00:00:00Z,2.4,DCB57F22-8480-D657-1156-39E3A84302A7,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,14,2018-06-15T00:00:00Z,2.4,96CF974C-DD04-1D89-DAE7-39E727E04F7B,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,9,2018-09-08T00:00:00Z,2.4,9E02A02C-9368-47DA-BF9D-F6B9B35658D1,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,16,2018-06-27T00:00:00Z,2.4,6EC440AD-BF68-48D7-B20B-9230E9D35372,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,14,2018-06-13T00:00:00Z,2.4,DBA7A55D-19DA-D75E-9B1B-39E727E04F7B,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,21,2017-10-29T00:00:00Z,2.4,F71693A7-18BC-A0B3-2511-39E2B64A0A8C,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,45,2016-05-01T00:00:00Z,2.3,1DFDB0BF-81AC-55CA-3FF7-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,14,2018-06-25T00:00:00Z,2.4,EC1F0991-827A-4545-B6A7-54FE4809BE72,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,34,2017-11-28T00:00:00Z,2.4,113836AF-38AE-CAB7-3079-39E3A83ABBD6,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,16,2018-06-12T00:00:00Z,2.4,319C4D02-1B7E-5274-2E0C-39E727E04F7B,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2017,29,2017-09-28T00:00:00Z,2.4,C246B622-B6DE-41F2-66C0-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,2,2018-05-18T00:00:00Z,2.4,131F1A58-9917-051C-654F-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,4,2017,9,2017-04-06T00:00:00Z,2.4,E0760B89-E018-1D12-D486-39DE761BD8E1,1,A
17,Blue,Logbook,Q1,-0.55318977,12,2018,10,2018-12-01T00:00:00Z,2.4,421A0883-7141-4830-AF9E-AC3C4C65A49A,4,A
17,Blue,Logbook,Q1,-0.55318977,9,2017,72,2017-09-26T00:00:00Z,2.4,F580D15E-9552-7FE1-541B-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,7,2017-11-01T00:00:00Z,2.4,1B88BE55-B9E2-EBEE-28C5-39E2B64A0A8C,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2017,22,2017-09-27T00:00:00Z,2.4,4AF78983-4FFE-4A95-648C-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,12,2018-11-28T00:00:00Z,2.4,FC47AC11-B985-4B04-8FD4-72DE948B72D7,3,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,19,2018-06-29T00:00:00Z,2.4,1ADF3225-14BC-433C-AC28-0266376E6335,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,15,2018-06-28T00:00:00Z,2.4,5C38CE7F-3CE6-401C-953C-4F8320ACCC4B,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,70,2017-10-04T00:00:00Z,2.4,E33295E8-35D2-0172-A1F9-39E23AB152F6,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,10,2018-11-27T00:00:00Z,2.4,A4433A19-B7D8-4A62-A86E-90FA7062470E,1,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,20,2016-09-22T00:00:00Z,2.3,B209B65E-F563-86D4-ABC4-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,62,2016-05-04T00:00:00Z,2.3,8BD81EDA-2F3A-AA2B-DD83-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,23,2016-05-06T00:00:00Z,2.3,6FCA6C46-8EF8-42F7-EB14-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,52,2016-05-05T00:00:00Z,2.3,C9B38ECD-65AD-3B8F-225B-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,36,2016-05-13T00:00:00Z,2.3,A04FCA75-7A8B-72A5-69CE-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,4,2017,16,2017-04-04T00:00:00Z,2.4,BB20A8AD-27AD-7944-7D6C-39DE761BD8E1,2,A
17,Blue,Logbook,Q1,-0.55318977,10,2018,18,2018-10-22T00:00:00Z,2.4,FA8D8600-E3DA-4FCD-9E4D-B5D82B4F976E,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,8,2017-10-26T00:00:00Z,2.4,D898B9E7-E8EE-B8A1-9AE4-39E2B642796E,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,9,2017-11-04T00:00:00Z,2.4,89EAF971-1B12-628A-BC60-39E2B64E8733,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,36,2016-09-21T00:00:00Z,2.3,BAD9C762-B232-4B41-5229-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2016,12,2016-10-07T00:00:00Z,2.3,4AE2AA3C-E56C-D739-73D6-39DAF78EA375,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,41,2016-09-23T00:00:00Z,2.3,DA67E453-A0EE-BB83-2CE0-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,16,2017-10-17T00:00:00Z,2.4,7621F627-4734-F71D-98ED-39E27D4BEC21,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,36,2016-05-03T00:00:00Z,2.3,DF0A3A0E-65A5-3360-D854-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2018,16,2018-10-26T00:00:00Z,2.4,41C7AFF2-24FF-45F0-8B7C-D10244B2506F,0,A
17,Blue,Logbook,Q1,-0.55318977,4,2016,28,2016-04-29T00:00:00Z,2.3,10BF7543-6FEF-ABE2-C639-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,23,2016-09-28T00:00:00Z,2.3,9E9E80A2-43B5-004B-7CB7-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,22,2017-10-31T00:00:00Z,2.4,3F607373-8B78-DAC1-202F-39E2B64A0A8C,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,24,2016-12-16T00:00:00Z,2.3,C8A809CF-F517-B917-8911-39DCA6F687E3,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,25,2018-11-24T00:00:00Z,2.4,7350320E-60F5-405F-A33A-C0AF131502BC,1,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,18,2016-05-14T00:00:00Z,2.3,0AF0ADAE-2ED9-D542-FF2E-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,4,2016,42,2016-04-30T00:00:00Z,2.3,8AFF7C29-E1C4-E2F6-340D-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,4,2017,13,2017-04-05T00:00:00Z,2.4,956A7BCC-81BF-0B37-8770-39DE761BD8E1,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2016,3,2016-10-11T00:00:00Z,2.3,8824EB1A-B483-9E3D-1C46-39DAF78EA375,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2018,2,2018-12-04T00:00:00Z,2.4,A2308CF0-E325-44A4-AC04-D6AEC1737BD1,1,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,24,2016-12-17T00:00:00Z,2.3,2BE402FE-9EDC-C2E9-C42F-39DCA6F687E3,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,17,2016-09-24T00:00:00Z,2.3,DFF1F267-222A-AE30-F5A3-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2018,18,2018-12-03T00:00:00Z,2.4,3567DCCD-32EB-4F01-AF6A-D2822B0183AF,2,A
17,Blue,Logbook,Q1,-0.55318977,4,2016,24,2016-04-28T00:00:00Z,2.3,916E436C-36DF-9C07-3BD3-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,4,2018,0,2018-04-30T00:00:00Z,2.1,11166658-8FE4-9E4E-4D05-39E6BFC3D610,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2018,12,2018-12-02T00:00:00Z,2.4,BEC7A9E6-75E8-4E4B-B086-FBF632726D66,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,21,2018-11-29T00:00:00Z,2.4,07EE7542-9AD2-4AF5-8151-507C4D7B4F75,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,22,2016-05-02T00:00:00Z,2.3,684D37D9-092D-E09F-335D-39D7A9A9FE0D,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2017,8,2017-07-05T00:00:00Z,2.4,7C906D52-0983-DFB0-EAD9-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,21,2018-05-25T00:00:00Z,2.4,90CC3991-A806-3E61-0EB6-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,8,2018-11-22T00:00:00Z,2.4,444F7132-FC06-4250-B6A8-258C9D741319,3,A
17,Blue,Logbook,Q1,-0.55318977,10,2018,26,2018-10-25T00:00:00Z,2.4,B0D76D44-EF0E-4269-81F4-5BE9F51BBEEA,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2018,37,2018-10-24T00:00:00Z,2.4,FAF46947-FDB2-421C-BFF4-35DEF6118B9F,1,A
